                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.41823,                  0.402,                 1.0922,                0.99434,                0.99055,                0.99425,                0.80815,                0.41944,                 0.3177,                 1.0525,             0.00076796,             0.00076796,             0.00076796
                     37,                0.41725,                0.39173,                 1.0973,                0.99515,                 0.9911,                0.99428,                0.80963,                0.41987,                0.31475,                 1.0538,             0.00074907,             0.00074907,             0.00074907
                     38,                0.41477,                0.39023,                 1.0948,                0.99426,                0.99259,                0.99425,                0.81103,                0.41589,                0.31938,                 1.0649,             0.00073019,             0.00073019,             0.00073019
                     39,                0.41502,                0.39182,                 1.0999,                0.99031,                0.99557,                0.99385,                0.80833,                0.42254,                0.31736,                 1.0661,              0.0007113,              0.0007113,              0.0007113
                     40,                0.41211,                0.38387,                 1.0857,                 0.9937,                0.99428,                0.99435,                0.81047,                0.41855,                0.31263,                 1.0547,             0.00069241,             0.00069241,             0.00069241
                     41,                0.41057,                0.38307,                 1.0986,                0.99087,                0.99614,                0.99424,                0.81225,                0.41682,                0.31504,                 1.0798,             0.00067353,             0.00067353,             0.00067353
                     42,                0.40956,                0.37781,                 1.0957,                0.99286,                0.99533,                0.99413,                0.81135,                0.41995,                0.31213,                 1.0636,             0.00065464,             0.00065464,             0.00065464
                     43,                0.40702,                0.37852,                  1.079,                0.99115,                0.99582,                0.99419,                0.80987,                0.42014,                0.31441,                 1.0471,             0.00063575,             0.00063575,             0.00063575
                     44,                0.40689,                0.37931,                 1.0926,                0.99371,                0.99325,                0.99435,                0.81301,                0.41543,                0.31505,                 1.0658,             0.00061687,             0.00061687,             0.00061687
                     45,                0.41135,                0.38349,                  1.099,                0.99149,                0.99566,                0.99428,                0.80923,                0.42185,                0.31229,                 1.0739,             0.00059798,             0.00059798,             0.00059798
                     46,                0.40518,                0.37909,                  1.101,                0.98937,                0.99612,                0.99426,                0.81155,                0.41488,                0.31107,                 1.0838,             0.00057909,             0.00057909,             0.00057909
                     47,                0.40433,                0.37457,                 1.0991,                0.99371,                0.99264,                0.99435,                 0.8136,                0.41651,                0.31167,                 1.0767,             0.00056021,             0.00056021,             0.00056021
                     48,                0.40395,                0.37091,                 1.0961,                0.99409,                0.99301,                0.99428,                0.81075,                0.42136,                0.31161,                 1.0836,             0.00054132,             0.00054132,             0.00054132
                     49,                0.40209,                0.36978,                 1.0953,                0.99242,                0.99526,                0.99422,                0.81184,                0.41458,                0.30862,                 1.0841,             0.00052243,             0.00052243,             0.00052243
                     50,                0.39952,                0.36627,                 1.0841,                0.99195,                0.99502,                0.99421,                 0.8149,                0.41314,                0.30781,                 1.0682,             0.00050355,             0.00050355,             0.00050355
                     51,                0.40219,                0.36664,                 1.0909,                0.99419,                0.99382,                0.99404,                0.81243,                 0.4163,                0.30972,                 1.0725,             0.00048466,             0.00048466,             0.00048466
                     52,                0.39921,                0.36338,                 1.0788,                0.99296,                0.99451,                0.99417,                0.81097,                0.42019,                0.30625,                  1.068,             0.00046577,             0.00046577,             0.00046577
                     53,                0.39781,                0.35869,                 1.0833,                0.99292,                0.99527,                0.99428,                0.81716,                0.41202,                0.30388,                 1.0664,             0.00044689,             0.00044689,             0.00044689
                     54,                 0.3971,                0.36038,                 1.0807,                0.99411,                0.99404,                0.99437,                0.81635,                0.41271,                0.30039,                 1.0635,               0.000428,               0.000428,               0.000428
                     55,                0.39646,                0.36238,                 1.0837,                0.99453,                0.99319,                0.99429,                0.81471,                0.41345,                0.29932,                 1.0703,             0.00040911,             0.00040911,             0.00040911
                     56,                0.39526,                 0.3585,                 1.0681,                0.99241,                0.99595,                 0.9943,                0.81761,                0.41267,                0.29764,                 1.0459,             0.00039023,             0.00039023,             0.00039023
                     57,                0.39301,                0.35497,                 1.0646,                0.99347,                 0.9961,                0.99441,                0.81484,                0.41639,                0.29721,                  1.055,             0.00037134,             0.00037134,             0.00037134
                     58,                0.39392,                0.35332,                 1.0734,                0.99347,                0.99567,                0.99436,                0.81799,                0.41415,                0.29615,                 1.0638,             0.00035245,             0.00035245,             0.00035245
                     59,                0.39104,                 0.3493,                 1.0736,                 0.9947,                0.99395,                0.99431,                0.81932,                0.41076,                0.29455,                 1.0575,             0.00033357,             0.00033357,             0.00033357
                     60,                0.39113,                0.34999,                 1.0621,                0.99447,                0.99413,                0.99432,                0.81711,                0.41166,                 0.2939,                 1.0493,             0.00031468,             0.00031468,             0.00031468
                     61,                0.39193,                0.34846,                  1.061,                0.99447,                0.99455,                0.99427,                 0.8171,                0.41368,                0.29382,                  1.052,             0.00029579,             0.00029579,             0.00029579
                     62,                0.38936,                0.34716,                 1.0629,                0.99101,                0.99691,                0.99412,                 0.8159,                 0.4145,                0.29532,                 1.0517,              0.0002769,              0.0002769,              0.0002769
                     63,                0.38592,                0.34491,                 1.0581,                0.99527,                0.99256,                0.99402,                0.81659,                0.41388,                0.29744,                 1.0532,             0.00025802,             0.00025802,             0.00025802
                     64,                0.38431,                0.34373,                 1.0489,                0.99341,                0.99475,                0.99406,                0.81816,                0.41159,                0.29459,                 1.0443,             0.00023913,             0.00023913,             0.00023913
                     65,                0.38629,                0.34278,                 1.0544,                0.99442,                0.99356,                0.99399,                0.81762,                0.41225,                0.29439,                  1.047,             0.00022024,             0.00022024,             0.00022024
                     66,                0.37009,                0.29177,                 1.0516,                0.99439,                0.99355,                0.99379,                 0.8185,                0.41176,                0.29352,                 1.0454,             0.00020136,             0.00020136,             0.00020136
                     67,                0.37038,                0.28977,                 1.0571,                0.99362,                0.99477,                0.99403,                0.81992,                0.41058,                0.29303,                  1.053,             0.00018247,             0.00018247,             0.00018247
                     68,                0.36819,                0.28713,                 1.0539,                0.99324,                0.99551,                0.99401,                0.81996,                0.41122,                0.29299,                 1.0536,             0.00016358,             0.00016358,             0.00016358
                     69,                0.36719,                0.28511,                 1.0513,                0.99369,                0.99504,                0.99402,                 0.8197,                0.41095,                0.29347,                 1.0519,              0.0001447,              0.0001447,              0.0001447
                     70,                0.36453,                0.28392,                   1.05,                0.99195,                0.99672,                0.99412,                0.81997,                0.41066,                0.29241,                 1.0505,             0.00012581,             0.00012581,             0.00012581
                     71,                0.36372,                0.28125,                 1.0478,                 0.9935,                0.99495,                0.99403,                0.81906,                  0.411,                0.29152,                 1.0474,             0.00010692,             0.00010692,             0.00010692
                     72,                0.36222,                0.27932,                 1.0448,                0.99368,                0.99486,                 0.9941,                0.81994,                0.41126,                0.29113,                 1.0451,             8.8037e-05,             8.8037e-05,             8.8037e-05
                     73,                0.36099,                0.27858,                 1.0426,                 0.9941,                0.99441,                0.99418,                0.82006,                0.41143,                0.29074,                 1.0453,              6.915e-05,              6.915e-05,              6.915e-05
                     74,                0.36114,                0.27731,                 1.0426,                0.99373,                 0.9947,                0.99416,                0.82071,                0.41034,                0.28974,                 1.0452,             5.0263e-05,             5.0263e-05,             5.0263e-05
                     75,                0.35884,                0.27488,                 1.0407,                0.99359,                0.99467,                0.99417,                0.82128,                0.41031,                0.28974,                 1.0452,             3.1376e-05,             3.1376e-05,             3.1376e-05
