                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7899,                 0.9524,                0.90773,                0.76886,                0.85349,                0.82434,                 0.3755,                 1.7386,                0.98785,                 0.9158,              0.0004085,              0.0004085,              0.0004085
                     36,                 1.8001,                0.94116,                0.90729,                0.75708,                0.84493,                0.77926,                0.34615,                  1.839,                  1.007,                0.92252,             0.00038375,             0.00038375,             0.00038375
                     37,                 1.7837,                0.93186,                0.90383,                0.76742,                0.88188,                0.83291,                0.36537,                 1.8101,                0.99905,                0.92123,               0.000359,               0.000359,               0.000359
                     38,                 1.7814,                0.93825,                0.90727,                0.77268,                0.86399,                0.82432,                0.36962,                 1.7888,                0.97057,                0.91974,             0.00033425,             0.00033425,             0.00033425
                     39,                 1.7757,                0.93123,                0.90157,                0.78079,                0.85798,                0.82451,                0.36376,                 1.7915,                0.99693,                0.91769,              0.0003095,              0.0003095,              0.0003095
                     40,                  1.759,                 0.9234,                0.90399,                0.77035,                0.86284,                0.82448,                0.36625,                 1.7759,                0.99845,                0.91553,             0.00028475,             0.00028475,             0.00028475
                     41,                 1.7326,                0.92549,                0.92151,                0.76936,                0.85427,                0.80778,                0.36515,                 1.7408,                0.98245,                0.91387,                0.00026,                0.00026,                0.00026
                     42,                 1.7284,                0.91671,                0.92307,                0.77088,                0.83628,                0.80406,                0.37174,                 1.7455,                  0.987,                0.91818,             0.00023525,             0.00023525,             0.00023525
                     43,                 1.7258,                  0.917,                0.92019,                0.76966,                0.86229,                 0.8189,                0.37349,                 1.7579,                 0.9721,                0.91286,              0.0002105,              0.0002105,              0.0002105
                     44,                 1.7123,                0.91106,                0.92294,                0.77391,                0.88731,                0.80921,                0.36771,                 1.7364,                0.97351,                0.91294,             0.00018575,             0.00018575,             0.00018575
                     45,                 1.7036,                0.90041,                0.91769,                 0.7832,                0.84806,                0.80438,                0.37838,                  1.757,                0.98075,                0.91286,               0.000161,               0.000161,               0.000161
                     46,                 1.7006,                0.89826,                0.91589,                0.75853,                0.87309,                0.82674,                0.37968,                 1.7569,                 0.9812,                0.91045,             0.00013625,             0.00013625,             0.00013625
                     47,                  1.689,                 0.8963,                0.91439,                0.75119,                0.86926,                0.81725,                0.36991,                 1.7746,                0.96701,                0.91043,              0.0001115,              0.0001115,              0.0001115
                     48,                 1.6831,                 0.8838,                0.91107,                0.76851,                0.88284,                0.81933,                0.37536,                 1.7495,                0.96265,                0.90883,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                 1.6726,                0.88641,                0.90973,                0.76854,                0.84941,                0.81297,                0.37364,                  1.761,                0.96759,                0.91236,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                 1.6605,                0.88144,                0.90912,                0.76299,                0.84085,                0.81622,                0.37514,                 1.7627,                 0.9593,                0.91112,              3.725e-05,              3.725e-05,              3.725e-05
