                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                 1.3187,                0.38538,                0.04754,                0.66133,                 0.9486,                0.72231,                0.76208,                0.66468,                0.38718,                0.72567,                  0.806,                0.72131,                0.66797,                 1.3756,                0.43971,                0.00539,                0.89782,                0.93532,                0.00101,                0.00101,                0.00101
                     23,                 1.2938,                0.39003,                0.04616,                0.65266,                 0.9438,                0.71669,                0.76112,                0.65767,                0.39137,                0.74876,                0.80527,                0.73195,                0.67756,                  1.362,                0.40442,                0.00548,                0.88063,                0.93494,              0.0009605,              0.0009605,              0.0009605
                     24,                 1.2819,                0.36815,                0.04254,                0.64427,                0.94238,                0.69926,                0.76768,                0.65552,                0.39429,                0.73286,                0.82284,                0.73244,                0.67602,                 1.3483,                0.39805,                0.00745,                0.89238,                0.92986,               0.000911,               0.000911,               0.000911
                     25,                 1.2751,                0.35673,                0.04499,                0.63353,                0.94877,                0.72736,                0.74378,                0.66512,                0.40239,                0.72556,                0.81481,                0.73065,                0.67904,                 1.3535,                0.39784,                  0.006,                0.86923,                0.93333,              0.0008615,              0.0008615,              0.0008615
                     26,                 1.2503,                0.34527,                 0.0396,                0.62093,                0.93516,                 0.7447,                0.74311,                0.68219,                0.41665,                0.73149,                0.80371,                0.73989,                0.69089,                 1.3275,                0.39944,                0.00569,                0.87353,                0.92547,               0.000812,               0.000812,               0.000812
                     27,                 1.2475,                0.32985,                0.04067,                 0.6131,                 0.9345,                0.72206,                0.76281,                 0.6697,                0.41725,                0.74015,                0.82138,                0.73879,                0.68779,                 1.3113,                0.40095,                0.00372,                0.84818,                0.92764,              0.0007625,              0.0007625,              0.0007625
                     28,                 1.2409,                0.33502,                0.04394,                0.60512,                0.93859,                0.72779,                0.76531,                0.67878,                0.41341,                 0.7465,                0.81259,                0.73535,                0.68737,                 1.3158,                0.39345,                0.00457,                0.84967,                0.92026,               0.000713,               0.000713,               0.000713
                     29,                 1.2107,                0.29579,                 0.0368,                0.59483,                0.92207,                0.73441,                0.75988,                0.67545,                0.41771,                0.75056,                0.80841,                0.74505,                0.69373,                 1.3009,                0.37564,                0.00635,                0.83311,                0.91639,              0.0006635,              0.0006635,              0.0006635
                     30,                 1.1904,                0.28066,                0.04129,                0.58024,                0.92516,                0.74112,                0.75988,                 0.6825,                0.42699,                0.73982,                0.81918,                0.74334,                 0.6961,                 1.2752,                 0.3732,                0.00492,                0.82263,                0.91593,               0.000614,               0.000614,               0.000614
                     31,                 1.1537,                0.25292,                0.00565,                0.55289,                0.91486,                0.72815,                0.75549,                0.67969,                0.42787,                0.74711,                0.83236,                0.75052,                0.70109,                  1.299,                0.36653,                0.00697,                0.82871,                0.91494,              0.0005645,              0.0005645,              0.0005645
                     32,                 1.1385,                0.25489,                0.00494,                0.53578,                0.91607,                0.72448,                0.78258,                0.68277,                 0.4249,                0.74309,                0.82367,                 0.7396,                0.69395,                 1.2797,                0.35994,                0.00377,                0.82958,                0.91245,               0.000515,               0.000515,               0.000515
                     33,                  1.119,                0.23201,                0.00523,                0.51964,                0.90918,                 0.7332,                 0.7672,                 0.6823,                0.43186,                0.73709,                0.83309,                0.74444,                0.70109,                 1.2746,                0.35302,                0.00598,                0.81565,                0.91224,              0.0004655,              0.0004655,              0.0004655
                     34,                 1.0973,                0.22577,                0.00364,                0.51293,                0.90661,                0.73607,                0.77233,                0.68835,                0.43449,                0.74934,                 0.8163,                 0.7419,                0.69879,                  1.262,                 0.3503,                 0.0037,                0.81471,                0.90702,               0.000416,               0.000416,               0.000416
                     35,                 1.0895,                0.21793,                0.00375,                0.50864,                0.90099,                0.73604,                0.77368,                0.69001,                0.43727,                0.75203,                 0.8237,                0.74965,                0.70503,                 1.2733,                 0.3387,                0.00568,                0.81825,                0.90839,              0.0003665,              0.0003665,              0.0003665
                     36,                 1.0692,                0.20801,                0.00299,                0.49866,                0.90068,                0.75517,                0.75769,                0.69321,                0.43969,                0.74209,                0.84256,                0.75264,                0.71015,                 1.2615,                 0.3312,                0.00448,                0.80965,                0.90815,               0.000317,               0.000317,               0.000317
                     37,                 1.0511,                0.21121,                0.00207,                0.48698,                0.89346,                  0.733,                0.77526,                0.69223,                0.44461,                0.73829,                0.84041,                0.75311,                 0.7083,                 1.2337,                0.33372,                0.00929,                0.80266,                0.90717,              0.0002675,              0.0002675,              0.0002675
                     38,                 1.0281,                0.21932,                0.00389,                0.47249,                0.89076,                0.73752,                 0.7837,                0.69329,                0.44592,                0.75896,                0.81828,                0.75195,                0.71114,                 1.2429,                0.32667,                0.01517,                0.80223,                 0.9119,               0.000218,               0.000218,               0.000218
                     39,                 1.0114,                0.19277,                0.00392,                0.46961,                0.88443,                0.74523,                 0.7773,                0.69431,                0.44864,                0.73642,                0.85359,                 0.7529,                0.71222,                 1.2416,                0.33347,                0.00516,                0.80305,                0.90671,              0.0001685,              0.0001685,              0.0001685
                     40,                 1.0001,                0.18981,                0.00247,                0.46233,                0.87783,                0.72725,                0.79575,                0.69559,                0.45181,                0.73185,                 0.8675,                0.75466,                0.71334,                 1.2302,                0.32696,                0.00617,                0.80995,                0.90865,               0.000119,               0.000119,               0.000119
